onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
2.01577	1.20788	2.01577	3.22365	5.2093	1.20788	1.81094	COLOR	3	greentriangle	green	triangle	1	28	2	0.60306	LONG	2	1	CONGRUENT	NOSWITCH	0.01577	3.2093	1.22365
6.21861	1.20791	6.21861	7.42652	9.41223	1.20791	1.68435	C	1	redcircle	red	circle	4	5	1	0.47644	LONG	2	1	CONGRUENT	NOSWITCH	4.21861	7.41223	5.42652
10.40498	0.215109999999999	10.40498	10.62009	12.62229	0.215109999999999	1.14984	SHAPE	4	greentriangle	green	triangle	1	28	2	0.93473	SHORT	1	1	CONGRUENT	SWITCH	8.40498	10.62229	8.62009
14.62446	0.18205	14.62446	14.80651	16.80866	0.18205	1.18537	S	2	redtriangle	red	triangle	2	28	2	1.00332	SHORT	1	1	INCONGRUENT	NOSWITCH	12.62446	14.80866	12.80651
18.81081	1.19135	18.81081	20.00216	22.02092	1.19135	2.35818	SHAPE	4	redtriangle	red	triangle	2	28	2	1.16683	LONG	2	1	INCONGRUENT	NOSWITCH	16.81081	20.02092	18.00216
23.01369	1.19144	23.01369	24.20513	26.20727	1.19144	2.05273	C	1	redcircle	red	circle	4	5	1	0.86129	LONG	2	1	CONGRUENT	SWITCH	21.01369	24.20727	22.20513
27.21664	1.19137	27.21664	28.40801	30.41023	1.19137	1.91387	COLOR	3	greencircle	green	circle	3	28	2	0.7225	LONG	2	1	INCONGRUENT	NOSWITCH	25.21664	28.41023	26.40801
33.42172	1.19133	33.42172	34.61305	36.61531	1.19133	1.72573	C	1	redcircle	red	circle	4	5	1	0.5344	LONG	2	1	CONGRUENT	NOSWITCH	31.42172	34.61531	32.61305
37.60809	0.215140000000005	37.60809	37.82323	39.80881	0.215140000000005	1.02222000000001	COLOR	3	redcircle	red	circle	4	5	1	0.80708	SHORT	1	1	CONGRUENT	NOSWITCH	35.60809	37.80881	35.82323
40.81823	0.198509999999999	40.81823	41.01674	43.01892	0.198509999999999	1.41927	C	1	greentriangle	green	triangle	1	28	2	1.22076	SHORT	1	1	CONGRUENT	NOSWITCH	38.81823	41.01892	39.01674
45.02109	0.181979999999996	45.02109	45.20307	47.20528	0.181979999999996	1.15696	COLOR	3	greencircle	green	circle	3	28	2	0.97498	SHORT	1	1	INCONGRUENT	NOSWITCH	43.02109	45.20528	43.20307
48.21464	1.2079	48.21464	49.42254	51.42474	1.2079	1.96322	SHAPE	4	greentriangle	green	triangle	1	28	2	0.75532	LONG	2	1	CONGRUENT	SWITCH	46.21464	49.42474	47.42254
52.41755	0.198509999999999	52.41755	52.61606	54.61832	0.198509999999999	2.01923	S	2	redcircle	red	circle	4	5	1	1.82072	SHORT	1	1	CONGRUENT	NOSWITCH	50.41755	52.61832	50.61606
